,CellID,ExpType,RecMode,Sweep,SweepCount,Peak,Tail,AvgPeak,AvgTail,AmpNARatioDepol,AmpNARatioMgFree,,,,
1,20101125C1,MgFree,EPSC70MinusPre,1,1,-109.1807,-1.494139,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,-153.1815616667,,-50.7048115
2,20101125C1,MgFree,EPSC70MinusPre,2,2,-92.22163,-3.247451,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,0.6487819386,0.3310111932
3,20101125C1,MgFree,EPSC70MinusPre,3,3,-157.721,-4.103147,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
4,20101125C1,MgFree,EPSC70MinusPre,4,4,-62.51138,-2.530032,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
5,20101125C1,MgFree,EPSC70MinusPre,5,5,-108.7129,-6.110212,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
6,20101125C1,MgFree,EPSC70MinusPre,6,6,-192.4516,-5.547018,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
7,20101125C1,MgFree,EPSC70MinusPre,7,7,-105.6161,-4.904322,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
8,20101125C1,MgFree,EPSC70MinusPre,8,8,-116.2038,-2.978818,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
9,20101125C1,MgFree,EPSC70MinusPre,9,9,-181.6847,-5.103772,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
10,20101125C1,MgFree,EPSC70MinusPre,10,10,-210.0582,-6.911536,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
11,20101125C1,MgFree,EPSC70MinusPre,11,11,-231.1275,-8.267744,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
12,20101125C1,MgFree,EPSC70MinusPre,12,12,-174.5046,-2.850335,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
13,20101125C1,MgFree,EPSC70MinusPre,13,13,-151.8037,-4.97305,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
14,20101125C1,MgFree,EPSC70MinusPre,14,14,-149.4876,-5.181506,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
15,20101125C1,MgFree,EPSC70MinusPre,15,15,-129.4665,-4.211503,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
16,20101125C1,MgFree,EPSC70MinusPre,16,16,-195.2226,-7.404185,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
17,20101125C1,MgFree,EPSC70MinusPre,17,17,-180.8109,-6.237313,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
18,20101125C1,MgFree,EPSC70MinusPre,18,18,-208.4827,-11.21464,-153.1815616667,-5.1817068333,0.6487819386,0.3310111932,,,,
19,20101125C1,MgFree,EPSC70MinusCNQMgFree,57,1,-58.92999,-25.05185,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
20,20101125C1,MgFree,EPSC70MinusCNQMgFree,58,2,-54.4109,-23.39307,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
21,20101125C1,MgFree,EPSC70MinusCNQMgFree,59,3,-52.31869,-21.9298,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
22,20101125C1,MgFree,EPSC70MinusCNQMgFree,60,4,-45.5125,-23.71047,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
23,20101125C1,MgFree,EPSC70MinusCNQMgFree,61,5,-57.11813,-27.5472,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
24,20101125C1,MgFree,EPSC70MinusCNQMgFree,62,6,-45.77222,-20.9491,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
25,20101125C1,MgFree,EPSC70MinusCNQMgFree,63,7,-58.28764,-27.98484,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
26,20101125C1,MgFree,EPSC70MinusCNQMgFree,64,8,-41.54501,-19.39034,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
27,20101125C1,MgFree,EPSC70MinusCNQMgFree,65,9,-52.89954,-23.51695,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
28,20101125C1,MgFree,EPSC70MinusCNQMgFree,66,10,-49.96954,-26.07622,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
29,20101125C1,MgFree,EPSC70MinusCNQMgFree,67,11,-53.18124,-29.93543,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
30,20101125C1,MgFree,EPSC70MinusCNQMgFree,68,12,-47.54071,-25.22352,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
31,20101125C1,MgFree,EPSC70MinusCNQMgFree,69,13,-45.11041,-21.58491,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
32,20101125C1,MgFree,EPSC70MinusCNQMgFree,70,14,-47.31534,-23.49852,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
33,20101125C1,MgFree,EPSC70MinusCNQMgFree,71,15,-50.88496,-26.68128,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
34,20101125C1,MgFree,EPSC70MinusCNQMgFree,72,16,-45.53265,-21.98545,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
35,20101125C1,MgFree,EPSC70MinusCNQMgFree,73,17,-56.03892,-25.47697,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
36,20101125C1,MgFree,EPSC70MinusCNQMgFree,74,18,-50.43566,-24.79512,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
37,20101125C1,MgFree,EPSC70MinusCNQMgFree,75,19,-56.53724,-27.24737,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
38,20101125C1,MgFree,EPSC70MinusCNQMgFree,76,20,-44.75494,-22.17293,-50.7048115,-24.407567,0.6487819386,0.3310111932,,,,
39,20101125C2,MgFree,EPSC70MinusPre,1,1,-159.3942,-0.2469648,-106.763378,-1.561930972,0.6956762796,0.3549368773,,-106.763378,,-37.89426
40,20101125C2,MgFree,EPSC70MinusPre,2,2,-50.45982,-2.170933,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,0.6956762796,0.3549368773
41,20101125C2,MgFree,EPSC70MinusPre,3,3,-86.1533,-0.5691801,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
42,20101125C2,MgFree,EPSC70MinusPre,4,4,-172.3856,-2.269118,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
43,20101125C2,MgFree,EPSC70MinusPre,5,5,-129.0955,-2.105625,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
44,20101125C2,MgFree,EPSC70MinusPre,6,6,-110.227,-2.148528,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
45,20101125C2,MgFree,EPSC70MinusPre,7,7,-81.67037,0.4767352,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
46,20101125C2,MgFree,EPSC70MinusPre,8,8,-89.39455,-1.956735,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
47,20101125C2,MgFree,EPSC70MinusPre,9,9,-83.83972,-1.995471,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
48,20101125C2,MgFree,EPSC70MinusPre,10,10,-80.0755,-0.3234519,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
